id,user_id,movie_id,rating
0,1,862.0,4.0
1,5,862.0,4.0
2,7,862.0,4.5
3,15,862.0,2.5
4,17,862.0,4.5
5,18,862.0,3.5
6,19,862.0,4.0
7,21,862.0,3.5
8,27,862.0,3.0
9,31,862.0,5.0
10,32,862.0,3.0
11,33,862.0,3.0
12,40,862.0,5.0
13,43,862.0,5.0
14,44,862.0,3.0
15,45,862.0,4.0
16,46,862.0,5.0
17,50,862.0,3.0
18,54,862.0,3.0
19,57,862.0,5.0
20,63,862.0,5.0
21,64,862.0,4.0
22,66,862.0,4.0
23,68,862.0,2.5
24,71,862.0,5.0
25,73,862.0,4.5
26,76,862.0,0.5
27,78,862.0,4.0
28,82,862.0,2.5
29,86,862.0,4.0
30,89,862.0,3.0
31,90,862.0,3.0
32,91,862.0,4.0
33,93,862.0,3.0
34,96,862.0,5.0
35,98,862.0,4.5
36,103,862.0,4.0
37,107,862.0,4.0
38,112,862.0,3.0
39,119,862.0,3.5
40,121,862.0,4.0
41,124,862.0,4.0
42,130,862.0,3.0
43,132,862.0,2.0
44,134,862.0,3.0
45,135,862.0,4.0
46,137,862.0,4.0
47,140,862.0,3.0
48,141,862.0,4.0
49,144,862.0,3.5
50,145,862.0,5.0
51,151,862.0,5.0
52,153,862.0,2.0
53,155,862.0,3.0
54,156,862.0,4.0
55,159,862.0,4.5
56,160,862.0,4.0
57,161,862.0,4.0
58,166,862.0,5.0
59,167,862.0,3.5
60,169,862.0,4.5
61,171,862.0,5.0
62,177,862.0,5.0
63,178,862.0,4.0
64,179,862.0,4.0
65,182,862.0,4.0
66,185,862.0,4.0
67,186,862.0,4.0
68,191,862.0,4.0
69,193,862.0,2.0
70,200,862.0,3.5
71,201,862.0,5.0
72,202,862.0,4.0
73,206,862.0,5.0
74,213,862.0,3.5
75,214,862.0,3.0
76,216,862.0,3.0
77,217,862.0,4.0
78,219,862.0,3.5
79,220,862.0,5.0
80,223,862.0,3.5
81,226,862.0,3.5
82,229,862.0,5.0
83,232,862.0,3.5
84,233,862.0,3.0
85,234,862.0,5.0
86,239,862.0,4.0
87,240,862.0,5.0
88,247,862.0,5.0
89,249,862.0,4.0
90,252,862.0,4.5
91,254,862.0,4.5
92,263,862.0,4.0
93,264,862.0,4.0
94,266,862.0,2.0
95,269,862.0,5.0
96,270,862.0,5.0
97,273,862.0,5.0
98,274,862.0,4.0
99,275,862.0,5.0
100,276,862.0,4.0
101,277,862.0,4.0
